source,target
Aristarchus of Samos,Nicolaus Copernicus
Martianus Capella,Nicolaus Copernicus
Domenico Maria Novara da Ferrara,Nicolaus Copernicus
Socrates,Plato
Heraclitus,Plato
Parmenides,Plato
Plato,Aristotle
Socrates,Aristotle
Heraclitus,Aristotle
René Descartes,Isaac Newton
Victor Hugo,Fyodor Dostoyevsky
William Shakespeare,Fyodor Dostoyevsky
Plato,Fyodor Dostoyevsky
George Sand,Fyodor Dostoyevsky
Miguel de Cervantes,Fyodor Dostoyevsky
Charles Dickens,Fyodor Dostoyevsky
Alexander Pushkin,Fyodor Dostoyevsky
Georg Wilhelm Friedrich Hegel,Fyodor Dostoyevsky
Immanuel Kant,Fyodor Dostoyevsky
Honoré de Balzac,Fyodor Dostoyevsky
Edgar Allan Poe,Fyodor Dostoyevsky
Friedrich Schiller,Fyodor Dostoyevsky
Mikhail Bakunin,Fyodor Dostoyevsky
Nikolai Gogol,Fyodor Dostoyevsky
Mikhail Lermontov,Fyodor Dostoyevsky
Adam Mickiewicz,Fyodor Dostoyevsky
E. T. A. Hoffmann,Fyodor Dostoyevsky
Vissarion Belinsky,Fyodor Dostoyevsky
Alexander Herzen,Fyodor Dostoyevsky
Vladimir Solovyov,Fyodor Dostoyevsky
Leo Tolstoy,Mahatma Gandhi
Gautama Buddha,Mahatma Gandhi
Henry David Thoreau,Mahatma Gandhi
John Ruskin,Mahatma Gandhi
G. K. Chesterton,Mahatma Gandhi
Aristotle,Dante Alighieri
Virgil,Dante Alighieri
Homer,Dante Alighieri
Ovid,Dante Alighieri
Thomas Aquinas,Dante Alighieri
Ptolemy,Dante Alighieri
Boethius,Dante Alighieri
Augustine of Hippo,Blaise Pascal
René Descartes,Blaise Pascal
Michel de Montaigne,Blaise Pascal
Epictetus,Blaise Pascal
Cornelius Jansen,Blaise Pascal
Karl Marx,Vladimir Lenin
Georg Wilhelm Friedrich Hegel,Vladimir Lenin
Friedrich Engels,Vladimir Lenin
Joseph Dietzgen,Vladimir Lenin
Karl Kautsky,Vladimir Lenin
Georgi Plekhanov,Vladimir Lenin
Alexander Herzen,Vladimir Lenin
Cicero,Pierre-Joseph Proudhon
Jean-Jacques Rousseau,Pierre-Joseph Proudhon
Karl Marx,Pierre-Joseph Proudhon
Georg Wilhelm Friedrich Hegel,Pierre-Joseph Proudhon
"Claude Henri de Rouvroy, comte de Saint-Simon",Pierre-Joseph Proudhon
Hugo Grotius,Pierre-Joseph Proudhon
Victor Cousin,Pierre-Joseph Proudhon
Aristotle,Søren Kierkegaard
Augustine of Hippo,Søren Kierkegaard
Immanuel Kant,Søren Kierkegaard
Martin Luther,Søren Kierkegaard
Gotthold Ephraim Lessing,Søren Kierkegaard
Friedrich Wilhelm Joseph Schelling,Søren Kierkegaard
Johann Georg Hamann,Søren Kierkegaard
Aristippus,Michel Onfray
Auguste Comte,Émile Durkheim
Herbert Spencer,Émile Durkheim
Louis Gabriel Ambroise de Bonald,Émile Durkheim
Johann Wolfgang von Goethe,Friedrich Schiller
Immanuel Kant,Friedrich Schiller
Karl Leonhard Reinhold,Friedrich Schiller
Pedro Calderòn de la Barca,Friedrich Schiller
psychoanalysis,Hermann Hesse
Pietism,Hermann Hesse
Q19523829,Hermann Hesse
Fyodor Dostoyevsky,Mikhail Bakunin
Pierre-Joseph Proudhon,Mikhail Bakunin
Jean-Jacques Rousseau,Mikhail Bakunin
Karl Marx,Mikhail Bakunin
Georg Wilhelm Friedrich Hegel,Mikhail Bakunin
Ludwig Feuerbach,Mikhail Bakunin
E. T. A. Hoffmann,Mikhail Bakunin
Alexander Herzen,Mikhail Bakunin
Nikolay Ogarev,Mikhail Bakunin
Michel Foucault,Luce Irigaray
Euclid,Bertrand Russell
Gottfried Wilhelm Leibniz,Bertrand Russell
Ludwig Wittgenstein,Bertrand Russell
Baruch Spinoza,Bertrand Russell
David Hume,Bertrand Russell
John Stuart Mill,Bertrand Russell
Gottlob Frege,Bertrand Russell
Georg Cantor,Bertrand Russell
Alexius Meinong,Bertrand Russell
Percy Bysshe Shelley,Bertrand Russell